"tx_acc1","tx_form","tx_courses","heurstag","tx_tpf","secteur_ensemble","secteur","taille","NAME_FREN","iso3_code"
13.8,19,18.8,100,2.8,0,"Industries alimentaire","Ensemble","Belgique","BEL"
75,100,100,9,2,0,"Fabrication de textiles","Ensemble","Belgique","BEL"
0,0,0,71,0.6,0,"Industrie du papier et du carton","Ensemble","Belgique","BEL"
0,0,0,64,0.7,0,"Cockefaction et raffinage","Ensemble","Belgique","BEL"
0,0,0,1,1,0,"Métallurgie","Ensemble","Belgique","BEL"
0,0,0,2,0.6,0,"Fabrication de produits informatiques","Ensemble","Belgique","BEL"
8.3,9.3,9.3,12,0.6,0,"Industrie automobile","Ensemble","Belgique","BEL"
10.4,20.2,20.2,16,0.8,0,"Fabrication de meubles","Ensemble","Belgique","BEL"
0,0,0,92,0.7,0,"Production et distribution d'électricité","Ensemble","Belgique","BEL"
14.3,11.3,11.3,25,1,0,"Construction","Ensemble","Belgique","BEL"
0,0,0,33,0.6,0,"Commerce et réparation d'automobiles","Ensemble","Belgique","BEL"
11.5,18,18,379,4.8,0,"Commerce de gros","Ensemble","Belgique","BEL"
9.8,17.8,17.8,37,1.2,0,"Commerce de détail","Ensemble","Belgique","BEL"
9.1,15.1,15.1,45,0.8,0,"Transports","Ensemble","Belgique","BEL"
14.2,17.3,17.3,14,1.1,0,"Hébergement, Restauration","Ensemble","Belgique","BEL"
13.6,29.2,29.2,24,0.9,0,"Edition, Production de films cinématographiques","Ensemble","Belgique","BEL"
4.2,7.9,7.9,27,0.9,0,"Activités des services financiers","Ensemble","Belgique","BEL"
8.4,13.8,13.8,173,2.1,0,"Activités auxiliaires de services financiers et d'assurance","Ensemble","Belgique","BEL"
9.8,10,10,25,1.1,0,"Activités des organisations associatives","Ensemble","Belgique","BEL"
37.8,32.6,32.6,17,2,0,"Activités immobilières","Ensemble","Belgique","BEL"
16.9,23.4,23.4,102,4,0,"Activités juridiques et comptables","Ensemble","Belgique","BEL"
19,20.2,20.2,101,2.3,0,"Activités de location","Ensemble","Belgique","BEL"
25.2,29.7,29.7,88,3.2,0,"Activités créatives, artistiques et de spectacle","Ensemble","Belgique","BEL"
23.3,27.5,26.9,37,2.4,0,"Agriculture, sylviculture et pêche","Ensemble","Belgique","BEL"
8.1,23.7,23,279,21.6,0,"Enseignement","Ensemble","Belgique","BEL"
9.5,14.7,14.7,41,1.6,0,"Administration publique et santé","Ensemble","Belgique","BEL"
17.1,26.2,22.5,30,1.6,1,"Ensemble des secteurs","1 à 3","Belgique","BEL"
12.1,12.2,12.2,15,1,0,"Industries extractives","1 à 3","Belgique","BEL"
24.5,35.9,32.1,46,2.2,0,"Industries alimentaire","1 à 3","Belgique","BEL"
0,0,0,30,0.6,0,"Fabrication de textiles","1 à 3","Belgique","BEL"
2.9,35.2,20.8,13,0.7,0,"Industrie du papier et du carton","1 à 3","Belgique","BEL"
0,0,0,70,0.5,0,"Cockefaction et raffinage","1 à 3","Belgique","BEL"
20,100,100,21,0.9,0,"Métallurgie","1 à 3","Belgique","BEL"
7.4,31.3,22.6,17,0.9,0,"Fabrication de produits informatiques","1 à 3","Belgique","BEL"
16,35.7,35.7,52,1.5,0,"Industrie automobile","1 à 3","Belgique","BEL"
22.3,32.7,32.7,18,1.1,0,"Fabrication de meubles","1 à 3","Belgique","BEL"
0,0,0,61,1.5,0,"Production et distribution d'électricité","1 à 3","Belgique","BEL"
9.8,41.3,41.3,280,3.6,0,"Construction","1 à 3","Belgique","BEL"
22.2,44.8,44.8,16,0.8,0,"Commerce et réparation d'automobiles","1 à 3","Belgique","BEL"
15.8,32,28.5,26,1,0,"Commerce de gros","1 à 3","Belgique","BEL"
11.9,31.5,31.5,59,1.3,0,"Commerce de détail","1 à 3","Belgique","BEL"
11.3,38.4,35.8,199,8.2,0,"Transports","1 à 3","Belgique","BEL"
15.1,26.8,24.9,195,4.2,0,"Hébergement, Restauration","1 à 3","Belgique","BEL"
18.3,48.8,45.7,23,1.2,0,"Edition, Production de films cinématographiques","1 à 3","Belgique","BEL"
9.9,26.9,19.6,63,1.8,0,"Activités des services financiers","1 à 3","Belgique","BEL"
15.3,48,34.8,112,1.7,0,"Activités auxiliaires de services financiers et d'assurance","1 à 3","Belgique","BEL"
27.3,27.2,25.6,55,2.7,0,"Activités des organisations associatives","1 à 3","Belgique","BEL"
